,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,School_Type_Private,School_Type_Public,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_No,Learning_Disabilities_Yes,Gender_Female,Gender_Male
0,23,84,0.0,2.0,7,73,0.0,0,0.0,1.0,3,0.0,0.0,67,True,False,False,True,False,True,False,False,True,True,False,False,True
1,19,64,0.0,1.0,8,59,0.0,2,1.0,1.0,4,1.0,1.0,61,True,False,False,True,False,True,True,False,False,True,False,True,False
2,24,98,1.0,1.0,7,91,1.0,2,1.0,1.0,4,2.0,0.0,74,False,True,False,True,False,True,False,True,False,True,False,False,True
3,29,89,0.0,1.0,8,98,1.0,1,1.0,1.0,4,0.0,1.0,71,False,True,False,True,False,True,True,False,False,True,False,False,True
4,19,92,1.0,1.0,6,65,1.0,3,1.0,2.0,4,1.0,0.0,70,False,True,False,True,False,True,False,True,False,True,False,True,False
5,19,88,1.0,1.0,8,89,1.0,3,1.0,1.0,3,2.0,0.0,71,False,True,False,True,False,True,False,False,True,True,False,False,True
6,29,84,1.0,0.0,7,68,0.0,1,0.0,1.0,2,0.0,1.0,67,False,True,False,True,True,False,False,True,False,True,False,False,True
7,25,78,0.0,2.0,6,50,1.0,1,2.0,2.0,2,0.0,2.0,66,False,True,False,True,False,True,True,False,False,True,False,False,True
8,17,94,1.0,2.0,6,80,2.0,0,1.0,0.0,1,1.0,0.0,69,True,False,False,True,True,False,False,True,False,True,False,False,True
9,23,98,1.0,1.0,8,71,1.0,0,2.0,2.0,5,0.0,1.0,72,False,True,False,True,False,True,False,False,True,True,False,False,True
10,17,80,0.0,2.0,8,88,1.0,4,1.0,2.0,4,1.0,1.0,68,True,False,True,False,True,False,False,True,False,True,False,False,True
11,17,97,1.0,2.0,6,87,0.0,2,0.0,2.0,2,0.0,0.0,71,False,True,False,True,True,False,False,True,False,True,False,False,True
12,21,83,1.0,1.0,8,97,0.0,2,1.0,1.0,4,0.0,0.0,70,False,True,False,True,False,True,False,False,True,True,False,False,True
13,9,82,1.0,1.0,8,72,1.0,2,1.0,1.0,3,2.0,0.0,66,False,True,False,True,True,False,False,False,True,True,False,False,True
14,10,78,1.0,2.0,8,74,1.0,1,0.0,1.0,4,2.0,0.0,65,False,True,False,True,True,False,False,True,False,True,False,False,True
15,17,68,1.0,1.0,8,70,1.0,2,1.0,1.0,4,0.0,0.0,64,True,False,False,True,True,False,False,False,True,True,False,True,False
16,14,60,1.0,0.0,10,65,0.0,0,2.0,1.0,3,1.0,0.0,60,False,True,False,True,True,False,False,False,True,True,False,False,True
17,22,70,0.0,1.0,6,82,1.0,1,0.0,2.0,3,0.0,0.0,65,False,True,False,True,False,True,False,True,False,True,False,True,False
18,15,80,1.0,1.0,9,91,0.0,3,0.0,1.0,2,1.0,1.0,67,False,True,False,True,False,True,False,False,True,True,False,True,False
19,12,75,1.0,2.0,7,58,1.0,3,1.0,1.0,4,1.0,0.0,66,False,True,False,True,True,False,False,False,True,True,False,False,True
20,29,78,1.0,1.0,5,99,2.0,0,2.0,1.0,1,0.0,1.0,69,True,False,False,True,False,True,True,False,False,True,False,True,False
21,19,99,1.0,2.0,6,84,1.0,1,1.0,2.0,3,0.0,0.0,72,True,False,False,True,False,True,False,True,False,True,False,False,True
22,20,74,1.0,2.0,8,89,0.0,1,1.0,1.0,2,1.0,1.0,66,True,False,False,True,False,True,True,False,False,True,False,True,False
23,11,78,2.0,1.0,8,100,2.0,1,0.0,1.0,3,0.0,1.0,66,False,True,False,True,False,True,False,True,False,True,False,False,True
24,17,65,0.0,2.0,5,75,1.0,2,0.0,1.0,3,0.0,0.0,63,False,True,False,True,False,True,False,False,True,True,False,True,False
25,21,62,2.0,0.0,6,54,2.0,0,2.0,2.0,3,2.0,2.0,64,False,True,False,True,False,True,False,False,True,True,False,False,True
26,13,91,0.0,1.0,6,90,1.0,1,2.0,1.0,2,0.0,1.0,65,True,False,False,True,False,True,True,False,False,False,True,True,False
27,22,83,2.0,2.0,6,94,1.0,0,2.0,1.0,2,1.0,1.0,71,False,True,False,True,False,True,False,True,False,True,False,False,True
28,16,90,1.0,1.0,4,58,1.0,1,0.0,1.0,3,0.0,1.0,66,True,False,False,True,False,True,False,True,False,True,False,True,False
29,18,66,2.0,2.0,4,51,0.0,2,0.0,1.0,2,1.0,0.0,64,True,False,False,True,True,False,False,True,False,True,False,False,True
30,16,83,0.0,1.0,6,57,1.0,0,2.0,0.0,4,0.0,0.0,63,True,False,False,True,False,True,False,False,True,False,True,True,False
31,31,70,1.0,2.0,7,66,1.0,1,2.0,1.0,3,1.0,0.0,69,False,True,False,True,False,True,True,False,False,True,False,False,True
32,20,69,1.0,1.0,8,96,1.0,2,1.0,2.0,3,0.0,0.0,67,False,True,False,True,False,True,False,False,True,True,False,False,True
33,14,60,2.0,1.0,5,50,1.0,2,1.0,1.0,3,1.0,0.0,61,True,False,False,True,False,True,False,True,False,True,False,True,False
34,25,65,2.0,1.0,5,90,1.0,2,1.0,1.0,3,1.0,1.0,68,True,False,False,True,False,True,False,False,True,True,False,True,False
35,13,72,0.0,1.0,6,93,0.0,1,0.0,1.0,3,0.0,0.0,61,True,False,False,True,False,True,True,False,False,True,False,False,True
36,21,65,1.0,0.0,7,91,0.0,2,1.0,2.0,3,0.0,2.0,64,False,True,False,True,False,True,False,False,True,True,False,True,False
37,8,99,1.0,1.0,9,54,0.0,2,0.0,1.0,5,2.0,0.0,67,True,False,False,True,False,True,False,True,False,True,False,True,False
38,12,72,0.0,1.0,8,84,1.0,1,0.0,1.0,5,0.0,0.0,63,False,True,False,True,False,True,False,False,True,True,False,True,False
39,21,65,0.0,1.0,6,98,0.0,1,1.0,2.0,4,0.0,0.0,64,False,True,False,True,False,True,True,False,False,True,False,False,True
40,24,68,2.0,1.0,8,56,0.0,3,2.0,2.0,1,1.0,0.0,67,True,False,False,True,False,True,False,True,False,True,False,False,True
41,21,84,1.0,1.0,6,52,0.0,1,1.0,2.0,2,1.0,2.0,65,False,True,False,True,False,True,False,True,False,False,True,True,False
42,19,63,0.0,2.0,7,94,1.0,1,1.0,1.0,3,0.0,1.0,64,True,False,False,True,True,False,False,False,True,True,False,False,True
43,18,94,1.0,2.0,7,82,1.0,3,1.0,1.0,2,1.0,0.0,70,False,True,False,True,True,False,True,False,False,False,True,False,True
44,11,98,1.0,1.0,9,82,0.0,1,1.0,1.0,3,2.0,2.0,68,False,True,False,True,True,False,False,False,True,True,False,False,True
45,16,70,1.0,1.0,8,98,1.0,2,1.0,1.0,3,0.0,1.0,65,False,True,False,True,False,True,False,False,True,True,False,False,True
46,17,78,1.0,1.0,6,88,1.0,1,1.0,2.0,3,1.0,0.0,68,False,True,False,True,True,False,False,False,True,True,False,True,False
47,26,61,1.0,0.0,6,70,1.0,2,0.0,1.0,3,0.0,1.0,64,False,True,False,True,False,True,False,False,True,True,False,True,False
48,22,86,0.0,1.0,7,72,0.0,3,0.0,2.0,2,0.0,1.0,68,False,True,False,True,False,True,False,False,True,True,False,False,True
49,9,77,1.0,1.0,5,57,1.0,2,1.0,2.0,3,0.0,0.0,63,True,False,False,True,False,True,False,True,False,True,False,False,True
50,22,71,0.0,1.0,7,65,0.0,1,1.0,0.0,4,1.0,1.0,64,False,True,False,True,False,True,False,False,True,True,False,False,True
51,18,68,2.0,1.0,7,72,1.0,0,1.0,1.0,3,1.0,0.0,64,True,False,False,True,False,True,False,True,False,True,False,False,True
52,16,86,0.0,1.0,8,63,1.0,2,1.0,1.0,4,0.0,0.0,67,False,True,False,True,False,True,False,False,True,True,False,False,True
53,24,77,2.0,0.0,8,96,1.0,0,1.0,1.0,3,0.0,0.0,67,True,False,False,True,False,True,False,True,False,True,False,True,False
54,26,67,1.0,2.0,7,51,0.0,2,2.0,2.0,4,2.0,2.0,66,False,True,False,True,True,False,False,True,False,False,True,True,False
55,26,88,1.0,2.0,5,79,1.0,1,0.0,2.0,4,1.0,1.0,72,False,True,False,True,True,False,False,False,True,True,False,False,True
56,15,83,1.0,2.0,5,89,0.0,1,1.0,2.0,2,0.0,0.0,65,True,False,True,False,False,True,False,True,False,False,True,True,False
57,18,94,1.0,1.0,6,87,2.0,1,1.0,1.0,4,0.0,0.0,71,False,True,False,True,False,True,False,False,True,True,False,False,True
58,22,65,2.0,0.0,8,82,1.0,2,1.0,2.0,1,2.0,0.0,66,True,False,False,True,False,True,False,False,True,True,False,True,False
59,26,91,1.0,0.0,8,71,1.0,0,0.0,1.0,3,0.0,1.0,68,False,True,False,True,True,False,False,True,False,True,False,False,True
60,17,87,1.0,1.0,7,96,1.0,1,2.0,1.0,5,2.0,0.0,70,True,False,False,True,False,True,True,False,False,True,False,True,False
61,19,65,1.0,1.0,10,66,0.0,0,0.0,1.0,3,0.0,1.0,62,False,True,False,True,False,True,False,False,True,True,False,False,True
62,13,88,0.0,2.0,9,88,2.0,2,0.0,2.0,4,2.0,2.0,68,False,True,False,True,True,False,True,False,False,True,False,False,True
63,13,78,1.0,2.0,9,96,2.0,2,0.0,1.0,3,1.0,1.0,67,False,True,False,True,False,True,False,True,False,True,False,False,True
64,25,98,0.0,2.0,8,56,1.0,0,1.0,2.0,3,2.0,0.0,71,False,True,True,False,True,False,False,True,False,True,False,False,True
65,28,66,1.0,2.0,8,97,1.0,0,1.0,1.0,2,0.0,0.0,68,False,True,False,True,False,True,False,True,False,True,False,False,True
66,20,86,1.0,1.0,8,89,1.0,1,0.0,1.0,3,2.0,0.0,69,False,True,False,True,False,True,True,False,False,True,False,False,True
67,26,75,0.0,2.0,4,81,2.0,3,1.0,2.0,2,0.0,1.0,70,False,True,False,True,True,False,False,False,True,True,False,False,True
68,22,98,1.0,2.0,5,69,0.0,1,0.0,2.0,4,0.0,1.0,69,True,False,True,False,False,True,True,False,False,True,False,True,False
69,16,73,1.0,1.0,7,95,1.0,1,0.0,1.0,4,1.0,0.0,65,True,False,False,True,False,True,True,False,False,True,False,False,True
70,22,98,1.0,0.0,7,52,1.0,3,1.0,1.0,3,1.0,0.0,70,False,True,True,False,False,True,False,False,True,True,False,True,False
71,29,96,1.0,0.0,7,72,1.0,1,0.0,1.0,3,0.0,1.0,71,False,True,False,True,False,True,False,False,True,True,False,False,True
72,20,71,1.0,1.0,7,88,1.0,1,0.0,0.0,4,1.0,0.0,65,False,True,False,True,False,True,False,True,False,True,False,True,False
73,29,92,0.0,1.0,4,91,1.0,2,1.0,1.0,1,2.0,0.0,72,True,False,False,True,False,True,True,False,False,True,False,True,False
74,4,100,2.0,2.0,8,60,2.0,0,1.0,2.0,4,1.0,1.0,69,False,True,False,True,True,False,False,False,True,True,False,False,True
75,25,70,1.0,1.0,7,52,1.0,1,1.0,1.0,3,2.0,0.0,66,True,False,False,True,False,True,False,False,True,True,False,True,False
76,21,77,0.0,1.0,7,90,1.0,4,1.0,1.0,3,2.0,1.0,68,False,True,False,True,True,False,False,True,False,True,False,False,True
77,18,81,2.0,0.0,8,71,1.0,0,1.0,1.0,3,0.0,1.0,65,False,True,False,True,False,True,False,True,False,True,False,True,False
78,21,72,1.0,1.0,5,57,1.0,1,2.0,1.0,5,1.0,1.0,64,False,True,False,True,False,True,False,True,False,False,True,False,True
79,8,61,1.0,1.0,7,54,1.0,1,2.0,1.0,3,1.0,0.0,60,False,True,False,True,False,True,False,False,True,True,False,False,True
80,19,69,1.0,2.0,7,82,2.0,1,0.0,1.0,2,0.0,0.0,65,False,True,False,True,False,True,True,False,False,True,False,False,True
81,22,71,2.0,1.0,6,79,2.0,1,0.0,0.0,3,0.0,0.0,66,True,False,False,True,False,True,False,False,True,True,False,False,True
82,29,78,2.0,2.0,4,93,0.0,5,1.0,2.0,3,1.0,0.0,74,False,True,False,True,False,True,False,True,False,True,False,False,True
83,17,67,1.0,1.0,5,52,2.0,2,1.0,1.0,3,0.0,2.0,62,False,True,False,True,True,False,True,False,False,True,False,True,False
84,15,95,1.0,1.0,7,93,1.0,2,0.0,1.0,4,1.0,1.0,70,True,False,False,True,False,True,False,False,True,True,False,False,True
85,17,88,1.0,2.0,7,94,0.0,0,1.0,1.0,3,0.0,0.0,69,False,True,False,True,False,True,False,True,False,True,False,False,True
86,25,63,1.0,2.0,7,72,1.0,3,1.0,2.0,4,1.0,2.0,67,False,True,False,True,True,False,True,False,False,True,False,False,True
87,22,86,0.0,0.0,6,54,1.0,2,1.0,1.0,0,0.0,1.0,64,True,False,False,True,False,True,False,True,False,True,False,False,True
88,17,86,1.0,2.0,5,97,2.0,3,2.0,1.0,3,1.0,0.0,71,True,False,False,True,False,True,False,True,False,True,False,False,True
89,23,98,1.0,0.0,7,54,0.0,0,1.0,1.0,3,1.0,0.0,68,False,True,False,True,False,True,True,False,False,True,False,True,False
90,21,60,2.0,1.0,7,80,1.0,0,1.0,2.0,4,1.0,0.0,64,True,False,False,True,False,True,False,True,False,False,True,False,True
91,26,70,1.0,0.0,8,75,1.0,1,1.0,0.0,4,0.0,2.0,63,False,True,False,True,True,False,False,True,False,False,True,True,False
92,16,97,1.0,1.0,6,92,0.0,0,2.0,1.0,4,1.0,0.0,71,False,True,False,True,True,False,False,False,True,True,False,False,True
93,18,97,2.0,1.0,4,75,0.0,0,0.0,1.0,3,0.0,1.0,69,False,True,False,True,False,True,False,False,True,True,False,False,True
95,11,91,1.0,1.0,6,94,1.0,3,1.0,1.0,3,1.0,1.0,68,True,False,False,True,False,True,False,True,False,True,False,False,True
96,22,64,0.0,1.0,7,98,0.0,1,1.0,1.0,3,0.0,0.0,62,True,False,True,False,False,True,True,False,False,True,False,False,True
97,22,81,1.0,1.0,7,77,0.0,2,1.0,1.0,3,2.0,2.0,68,False,True,False,True,False,True,False,False,True,True,False,True,False
98,20,69,2.0,2.0,6,73,1.0,2,0.0,1.0,3,0.0,2.0,66,False,True,False,True,True,False,False,False,True,True,False,False,True
99,19,67,0.0,1.0,5,92,2.0,0,1.0,1.0,3,1.0,0.0,64,True,False,False,True,False,True,False,False,True,True,False,False,True
100,12,92,1.0,1.0,4,92,2.0,2,1.0,2.0,3,0.0,1.0,67,True,False,False,True,False,True,False,True,False,False,True,False,True
101,17,65,1.0,2.0,8,66,1.0,1,2.0,2.0,4,2.0,1.0,65,False,True,False,True,False,True,False,True,False,False,True,True,False
102,18,79,1.0,1.0,7,79,1.0,0,0.0,2.0,3,1.0,2.0,65,False,True,False,True,True,False,False,True,False,True,False,False,True
103,15,98,2.0,1.0,6,58,2.0,0,0.0,2.0,3,1.0,0.0,69,True,False,False,True,False,True,False,False,True,True,False,False,True
104,19,67,1.0,1.0,5,82,2.0,1,0.0,0.0,3,0.0,0.0,63,True,False,False,True,True,False,True,False,False,True,False,False,True
105,22,99,1.0,0.0,6,92,0.0,3,1.0,1.0,4,2.0,1.0,72,False,True,False,True,False,True,True,False,False,True,False,False,True
107,21,82,1.0,2.0,7,66,2.0,3,0.0,1.0,3,1.0,0.0,69,False,True,False,True,False,True,False,False,True,False,True,True,False
108,22,67,1.0,1.0,7,72,2.0,3,0.0,2.0,2,2.0,1.0,67,False,True,False,True,False,True,False,False,True,True,False,True,False
109,20,73,2.0,1.0,9,92,1.0,2,1.0,2.0,3,1.0,0.0,69,False,True,False,True,False,True,False,False,True,True,False,False,True
110,8,77,2.0,1.0,6,87,1.0,0,0.0,1.0,2,0.0,1.0,63,False,True,False,True,False,True,False,True,False,True,False,False,True
111,20,72,1.0,1.0,9,66,1.0,3,0.0,2.0,3,2.0,0.0,67,True,False,False,True,True,False,False,False,True,True,False,False,True
112,20,71,0.0,2.0,7,62,2.0,2,1.0,1.0,5,1.0,0.0,66,False,True,False,True,False,True,True,False,False,True,False,False,True
114,19,66,1.0,1.0,8,74,1.0,1,2.0,1.0,3,0.0,0.0,64,True,False,False,True,False,True,False,True,False,True,False,True,False
115,22,89,2.0,2.0,6,80,1.0,1,2.0,2.0,3,0.0,0.0,73,False,True,False,True,False,True,False,False,True,True,False,True,False
116,20,60,0.0,2.0,7,82,2.0,2,0.0,2.0,4,0.0,0.0,63,True,False,False,True,False,True,False,False,True,False,True,False,True
117,13,84,1.0,1.0,5,78,1.0,1,0.0,2.0,2,0.0,0.0,65,True,False,False,True,False,True,False,False,True,True,False,False,True
118,27,97,0.0,2.0,8,81,1.0,0,2.0,1.0,5,0.0,0.0,73,False,True,False,True,False,True,False,False,True,True,False,True,False
119,25,72,2.0,2.0,8,94,0.0,2,0.0,1.0,4,1.0,1.0,70,False,True,False,True,True,False,False,False,True,True,False,True,False
120,25,67,2.0,1.0,9,93,2.0,2,0.0,2.0,3,0.0,0.0,68,True,False,False,True,False,True,False,False,True,False,True,True,False
121,15,86,1.0,1.0,7,57,1.0,1,1.0,1.0,3,1.0,0.0,65,False,True,False,True,False,True,True,False,False,True,False,False,True
122,28,89,0.0,2.0,9,79,2.0,0,0.0,1.0,1,1.0,1.0,71,False,True,False,True,True,False,False,False,True,True,False,True,False
123,12,88,0.0,1.0,6,72,0.0,2,1.0,1.0,2,1.0,2.0,64,True,False,False,True,False,True,False,False,True,True,False,False,True
124,24,73,1.0,2.0,8,64,1.0,4,2.0,1.0,3,1.0,1.0,68,False,True,False,True,True,False,False,True,False,False,True,False,True
125,33,70,1.0,1.0,6,82,0.0,1,0.0,2.0,4,1.0,0.0,69,False,True,False,True,False,True,False,True,False,True,False,False,True
126,14,98,1.0,1.0,7,76,1.0,0,1.0,2.0,4,1.0,1.0,69,True,False,False,True,True,False,False,False,True,True,False,True,False
127,17,97,1.0,1.0,8,89,1.0,1,0.0,1.0,4,0.0,2.0,69,True,False,False,True,False,True,False,True,False,True,False,False,True
128,21,78,1.0,1.0,10,55,1.0,1,2.0,0.0,2,1.0,0.0,67,False,True,False,True,True,False,False,False,True,True,False,False,True
129,17,94,0.0,1.0,8,65,0.0,4,1.0,1.0,6,0.0,2.0,68,False,True,False,True,False,True,False,True,False,True,False,True,False
130,11,78,1.0,2.0,8,51,1.0,2,0.0,1.0,3,2.0,0.0,64,False,True,False,True,False,True,False,True,False,True,False,False,True
131,20,77,1.0,1.0,6,87,0.0,0,0.0,2.0,4,0.0,0.0,66,True,False,False,True,False,True,False,False,True,True,False,True,False
132,14,66,2.0,0.0,7,96,1.0,3,0.0,2.0,3,0.0,0.0,63,True,False,False,True,False,True,True,False,False,True,False,False,True
133,23,77,1.0,1.0,7,79,1.0,0,0.0,2.0,2,0.0,1.0,66,False,True,False,True,False,True,False,True,False,True,False,False,True
134,14,81,1.0,1.0,9,81,1.0,1,0.0,2.0,3,2.0,0.0,66,True,False,False,True,True,False,True,False,False,True,False,True,False
135,29,61,1.0,2.0,7,52,0.0,3,0.0,1.0,3,1.0,0.0,67,False,True,False,True,True,False,False,False,True,True,False,True,False
136,15,78,2.0,2.0,9,75,0.0,1,0.0,1.0,1,0.0,0.0,65,True,False,False,True,False,True,True,False,False,True,False,False,True
137,18,91,0.0,1.0,5,76,1.0,1,1.0,1.0,3,0.0,0.0,68,False,True,False,True,False,True,False,True,False,True,False,True,False
138,25,87,1.0,0.0,9,52,2.0,1,0.0,2.0,2,0.0,0.0,68,True,False,False,True,True,False,False,False,True,True,False,False,True
139,13,85,2.0,1.0,6,89,1.0,0,2.0,1.0,1,0.0,0.0,65,True,False,False,True,True,False,False,True,False,False,True,False,True
140,21,96,1.0,1.0,8,64,2.0,2,1.0,2.0,0,1.0,0.0,71,True,False,False,True,False,True,False,True,False,True,False,False,True
141,28,61,1.0,2.0,6,86,2.0,1,0.0,1.0,3,2.0,2.0,65,True,False,False,True,True,False,True,False,False,False,True,False,True
142,10,82,1.0,0.0,8,70,1.0,3,0.0,2.0,1,2.0,0.0,64,True,False,False,True,False,True,False,False,True,False,True,True,False
143,21,91,2.0,1.0,6,100,1.0,0,2.0,1.0,2,2.0,0.0,72,True,False,False,True,True,False,False,True,False,True,False,True,False
144,22,82,1.0,1.0,9,61,1.0,2,0.0,1.0,2,0.0,0.0,65,True,False,False,True,False,True,True,False,False,False,True,True,False
145,25,73,1.0,2.0,8,53,2.0,0,0.0,2.0,5,2.0,0.0,66,True,False,True,False,True,False,True,False,False,True,False,True,False
146,13,65,0.0,2.0,6,99,1.0,0,0.0,1.0,4,0.0,0.0,61,True,False,False,True,True,False,True,False,False,True,False,False,True
147,12,96,0.0,2.0,8,62,1.0,2,1.0,2.0,3,1.0,0.0,68,False,True,False,True,False,True,True,False,False,True,False,True,False
148,23,79,2.0,2.0,8,82,0.0,3,1.0,1.0,3,2.0,1.0,69,False,True,False,True,False,True,True,False,False,False,True,True,False
149,22,95,1.0,2.0,6,69,1.0,1,0.0,1.0,3,1.0,0.0,72,False,True,False,True,False,True,False,False,True,True,False,True,False
150,22,83,1.0,2.0,5,82,1.0,2,0.0,2.0,3,2.0,0.0,71,False,True,False,True,False,True,False,False,True,True,False,True,False
